dataset,hidden_layers,learning_rate,activation,optimizer,epochs,avg_f1_score
1_nrml_b.csv,[15],0.01,relu,sgd,50,0.6083826310924747
1_nrml_b.csv,[15],0.01,relu,rmsprop,10,0.9286338934473095
1_nrml_b.csv,[15],0.01,relu,rmsprop,25,0.9456645655545557
1_nrml_b.csv,[15],0.01,relu,rmsprop,50,0.95078381575038
1_nrml_b.csv,[15],0.01,tanh,adam,10,0.8882873263687218
1_nrml_b.csv,[15],0.01,tanh,adam,25,0.8869790953043932
1_nrml_b.csv,[15],0.01,tanh,adam,50,0.9149126804395266
1_nrml_b.csv,[15],0.01,tanh,sgd,10,0.5195092529338169
1_nrml_b.csv,[15],0.01,tanh,sgd,25,0.5912198730382184
1_nrml_b.csv,[15],0.01,tanh,sgd,50,0.7071569080181284
1_nrml_b.csv,[15],0.01,tanh,rmsprop,10,0.9078771615980917
1_nrml_b.csv,[15],0.01,tanh,rmsprop,25,0.9395619626680617
1_nrml_b.csv,[15],0.01,tanh,rmsprop,50,0.950902660792651
1_nrml_b.csv,[15],0.1,relu,adam,10,0.9277443345012722
1_nrml_b.csv,[15],0.1,relu,adam,25,0.9511191110091012
1_nrml_b.csv,[15],0.1,relu,adam,50,0.9611966885449587
1_nrml_b.csv,[15],0.1,relu,sgd,10,0.6792118922714744
1_nrml_b.csv,[15],0.1,relu,sgd,25,0.8529282172137445
1_nrml_b.csv,[15],0.1,relu,sgd,50,0.8910158500550178
1_nrml_b.csv,[15],0.1,relu,rmsprop,10,0.9320859450546516
1_nrml_b.csv,[15],0.1,relu,rmsprop,25,0.93908122947828
1_nrml_b.csv,[15],0.1,relu,rmsprop,50,0.9437640511009704
1_nrml_b.csv,[15],0.1,tanh,adam,10,0.9297490167433745
1_nrml_b.csv,[15],0.1,tanh,adam,25,0.9483474923838239
1_nrml_b.csv,[15],0.1,tanh,adam,50,0.955952786105934
1_nrml_b.csv,[15],0.1,tanh,sgd,10,0.7992553361604772
1_nrml_b.csv,[15],0.1,tanh,sgd,25,0.861450750030661
1_nrml_b.csv,[15],0.1,tanh,sgd,50,0.8824509675507851
1_nrml_b.csv,[15],0.1,tanh,rmsprop,10,0.9319980199418655
1_nrml_b.csv,[15],0.1,tanh,rmsprop,25,0.944352699673176
1_nrml_b.csv,[15],0.1,tanh,rmsprop,50,0.9562918372986438
1_nrml_b.csv,"[15, 15]",0.001,relu,adam,10,0.3292921964126526
